state_code,municipality_code,state_name,municipality_name
1,9,AGUASCALIENTES,TEPEZALA
1,3,AGUASCALIENTES,CALVILLO
1,7,AGUASCALIENTES,RINCON DE ROMOS
1,1,AGUASCALIENTES,AGUASCALIENTES
1,2,AGUASCALIENTES,ASIENTOS
1,10,AGUASCALIENTES,EL LLANO
1,5,AGUASCALIENTES,JESUS MARIA
1,8,AGUASCALIENTES,SAN JOSE DE GRACIA
1,6,AGUASCALIENTES,PABELLON DE ARTEAGA
1,11,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO
1,4,AGUASCALIENTES,COSIO
2,5,BAJA CALIFORNIA,PLAYAS DE ROSARITO
2,1,BAJA CALIFORNIA,ENSENADA
2,7,BAJA CALIFORNIA,SAN FELIPE                                                                  
2,6,BAJA CALIFORNIA,SAN QUINTIN
2,4,BAJA CALIFORNIA,TIJUANA
2,3,BAJA CALIFORNIA,TECATE
2,2,BAJA CALIFORNIA,MEXICALI
3,1,BAJA CALIFORNIA SUR,COMONDU
3,3,BAJA CALIFORNIA SUR,LA PAZ
3,8,BAJA CALIFORNIA SUR,LOS CABOS
3,9,BAJA CALIFORNIA SUR,LORETO
3,2,BAJA CALIFORNIA SUR,MULEGE
4,5,CAMPECHE,HECELCHAKAN
4,7,CAMPECHE,PALIZADA
4,9,CAMPECHE,ESCARCEGA
4,10,CAMPECHE,CALAKMUL
4,4,CAMPECHE,CHAMPOTON
4,13,CAMPECHE,DZITBALCHE                                                                  
4,12,CAMPECHE,SEYBAPLAYA
4,1,CAMPECHE,CALKINI
4,6,CAMPECHE,HOPELCHEN
4,2,CAMPECHE,CAMPECHE
4,11,CAMPECHE,CANDELARIA
4,3,CAMPECHE,CARMEN
4,8,CAMPECHE,TENABO
7,71,CHIAPAS,VILLA COMALTITLAN
7,74,CHIAPAS,REFORMA
7,97,CHIAPAS,TONALA
7,114,CHIAPAS,BENEMERITO DE LAS AMERICAS
7,1,CHIAPAS,ACACOYAGUA
7,21,CHIAPAS,COPAINALA
7,59,CHIAPAS,OCOSINGO
7,25,CHIAPAS,CHAPULTENANGO
7,7,CHIAPAS,AMATENANGO DEL VALLE
7,84,CHIAPAS,SOLOSUCHIAPA
7,6,CHIAPAS,AMATENANGO DE LA FRONTERA
7,13,CHIAPAS,BOCHIL
7,70,CHIAPAS,EL PORVENIR
7,115,CHIAPAS,MARAVILLA TENEJAPA
7,8,CHIAPAS,ANGEL ALBINO CORZO
7,38,CHIAPAS,HUIXTAN
7,5,CHIAPAS,AMATAN
7,49,CHIAPAS,LARRAINZAR
7,87,CHIAPAS,SUCHIATE
7,40,CHIAPAS,HUIXTLA
7,51,CHIAPAS,MAPASTEPEC
7,102,CHIAPAS,TUXTLA CHICO
7,90,CHIAPAS,TAPALAPA
7,98,CHIAPAS,TOTOLAPA
7,16,CHIAPAS,CATAZAJA
7,37,CHIAPAS,HUEHUETAN
7,103,CHIAPAS,TUZANTAN
7,3,CHIAPAS,ACAPETAHUA
7,27,CHIAPAS,CHIAPA DE CORZO
7,69,CHIAPAS,PIJIJIAPAN
7,72,CHIAPAS,PUEBLO NUEVO SOLISTAHUACAN
7,80,CHIAPAS,SILTEPEC
7,104,CHIAPAS,TZIMOL
7,19,CHIAPAS,COMITAN DE DOMINGUEZ
7,43,CHIAPAS,IXTACOMITAN
7,60,CHIAPAS,OCOTEPEC
7,34,CHIAPAS,FRONTERA COMALAPA
7,91,CHIAPAS,TAPILULA
7,94,CHIAPAS,TEOPISCA
7,12,CHIAPAS,BERRIOZABAL
7,20,CHIAPAS,LA CONCORDIA
7,31,CHIAPAS,CHILON
7,68,CHIAPAS,PICHUCALCO
7,18,CHIAPAS,COAPILLA
7,58,CHIAPAS,NICOLAS RUIZ
7,105,CHIAPAS,UNION JUAREZ
7,17,CHIAPAS,CINTALAPA
7,65,CHIAPAS,PALENQUE
7,111,CHIAPAS,ZINACANTAN
7,63,CHIAPAS,OSUMACINTA
7,23,CHIAPAS,CHAMULA
7,30,CHIAPAS,CHICOMUSELO
7,44,CHIAPAS,IXTAPA
7,2,CHIAPAS,ACALA
7,86,CHIAPAS,SUCHIAPA
7,107,CHIAPAS,VILLA CORZO
7,122,CHIAPAS,EL PARRAL
7,73,CHIAPAS,RAYON
7,75,CHIAPAS,LAS ROSAS
7,101,CHIAPAS,TUXTLA GUTIERREZ
7,29,CHIAPAS,CHICOASEN
7,92,CHIAPAS,TECPATAN
7,106,CHIAPAS,VENUSTIANO CARRANZA
7,41,CHIAPAS,LA INDEPENDENCIA
7,47,CHIAPAS,JITOTOL
7,93,CHIAPAS,TENEJAPA
7,52,CHIAPAS,LAS MARGARITAS
7,54,CHIAPAS,MAZATAN
7,99,CHIAPAS,LA TRINITARIA
7,109,CHIAPAS,YAJALON
7,4,CHIAPAS,ALTAMIRANO
7,9,CHIAPAS,ARRIAGA
7,64,CHIAPAS,OXCHUC
7,82,CHIAPAS,SITALA
7,85,CHIAPAS,SOYALO
7,28,CHIAPAS,CHIAPILLA
7,15,CHIAPAS,CACAHOATAN
7,48,CHIAPAS,JUAREZ
7,76,CHIAPAS,SABANILLA
7,96,CHIAPAS,TILA
7,112,CHIAPAS,SAN JUAN CANCUC
7,36,CHIAPAS,LA GRANDEZA
7,42,CHIAPAS,IXHUATAN
7,32,CHIAPAS,ESCUINTLA
7,62,CHIAPAS,OSTUACAN
7,83,CHIAPAS,SOCOLTENANGO
7,50,CHIAPAS,LA LIBERTAD
7,39,CHIAPAS,HUITIUPAN
7,78,CHIAPAS,SAN CRISTOBAL DE LAS CASAS
7,81,CHIAPAS,SIMOJOVEL
7,88,CHIAPAS,SUNUAPA
7,89,CHIAPAS,TAPACHULA
7,61,CHIAPAS,OCOZOCOAUTLA DE ESPINOSA
7,35,CHIAPAS,FRONTERA HIDALGO
7,11,CHIAPAS,BELLA VISTA
7,46,CHIAPAS,JIQUIPILAS
7,110,CHIAPAS,SAN LUCAS
7,57,CHIAPAS,MOTOZINTLA
7,124,CHIAPAS,MEZCALAPA
7,108,CHIAPAS,VILLAFLORES
7,26,CHIAPAS,CHENALHO
7,79,CHIAPAS,SAN FERNANDO
7,100,CHIAPAS,TUMBALA
7,123,CHIAPAS,EMILIANO ZAPATA
7,77,CHIAPAS,SALTO DE AGUA
7,45,CHIAPAS,IXTAPANGAJOYA
8,13,CHIHUAHUA,CASAS GRANDES
8,17,CHIHUAHUA,CUAUHTEMOC
8,25,CHIHUAHUA,GOMEZ FARIAS
8,19,CHIHUAHUA,CHIHUAHUA
8,10,CHIHUAHUA,BUENAVENTURA
8,30,CHIHUAHUA,GUAZAPARES
8,38,CHIHUAHUA,JULIMES
8,12,CHIHUAHUA,CARICHI
8,55,CHIHUAHUA,ROSALES
8,45,CHIHUAHUA,MEOQUI
8,11,CHIHUAHUA,CAMARGO
8,21,CHIHUAHUA,DELICIAS
8,6,CHIHUAHUA,BACHINIVA
8,39,CHIHUAHUA,LOPEZ
8,48,CHIHUAHUA,NAMIQUIPA
8,62,CHIHUAHUA,SAUCILLO
8,28,CHIHUAHUA,GUADALUPE
8,65,CHIHUAHUA,URIQUE
8,60,CHIHUAHUA,SANTA BARBARA
8,24,CHIHUAHUA,SANTA ISABEL
8,29,CHIHUAHUA,GUADALUPE Y CALVO
8,50,CHIHUAHUA,NUEVO CASAS GRANDES
8,64,CHIHUAHUA,EL TULE
8,36,CHIHUAHUA,JIMENEZ
8,37,CHIHUAHUA,JUAREZ
8,31,CHIHUAHUA,GUERRERO
8,35,CHIHUAHUA,JANOS
8,51,CHIHUAHUA,OCAMPO
8,32,CHIHUAHUA,HIDALGO DEL PARRAL
8,59,CHIHUAHUA,SAN FRANCISCO DEL ORO
8,2,CHIHUAHUA,ALDAMA
8,7,CHIHUAHUA,BALLEZA
8,40,CHIHUAHUA,MADERA
8,52,CHIHUAHUA,OJINAGA
8,27,CHIHUAHUA,GUACHOCHI
8,34,CHIHUAHUA,IGNACIO ZARAGOZA
8,49,CHIHUAHUA,NONOAVA
8,20,CHIHUAHUA,CHINIPAS
8,1,CHIHUAHUA,AHUMADA
8,57,CHIHUAHUA,SAN FRANCISCO DE BORJA
8,43,CHIHUAHUA,MATACHI
8,53,CHIHUAHUA,PRAXEDIS G. GUERRERO
8,3,CHIHUAHUA,ALLENDE
8,5,CHIHUAHUA,ASCENSION
8,9,CHIHUAHUA,BOCOYNA
8,63,CHIHUAHUA,TEMOSACHIC
8,44,CHIHUAHUA,MATAMOROS
9,3,CIUDAD DE MEXICO,COYOACAN
9,10,CIUDAD DE MEXICO,ALVARO OBREGON
9,14,CIUDAD DE MEXICO,BENITO JUAREZ
9,2,CIUDAD DE MEXICO,AZCAPOTZALCO
9,16,CIUDAD DE MEXICO,MIGUEL HIDALGO
9,17,CIUDAD DE MEXICO,VENUSTIANO CARRANZA
9,6,CIUDAD DE MEXICO,IZTACALCO
9,15,CIUDAD DE MEXICO,CUAUHTEMOC
9,7,CIUDAD DE MEXICO,IZTAPALAPA
9,4,CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS
9,11,CIUDAD DE MEXICO,TLAHUAC
9,8,CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS
9,5,CIUDAD DE MEXICO,GUSTAVO A. MADERO
9,9,CIUDAD DE MEXICO,MILPA ALTA
9,13,CIUDAD DE MEXICO,XOCHIMILCO
9,12,CIUDAD DE MEXICO,TLALPAN
5,3,COAHUILA DE ZARAGOZA,ALLENDE
5,33,COAHUILA DE ZARAGOZA,SAN PEDRO
5,9,COAHUILA DE ZARAGOZA,FRANCISCO I. MADERO
5,23,COAHUILA DE ZARAGOZA,OCAMPO
5,20,COAHUILA DE ZARAGOZA,MUZQUIZ
5,17,COAHUILA DE ZARAGOZA,MATAMOROS
5,30,COAHUILA DE ZARAGOZA,SALTILLO
5,37,COAHUILA DE ZARAGOZA,VILLA UNION
5,14,COAHUILA DE ZARAGOZA,JIMENEZ
5,32,COAHUILA DE ZARAGOZA,SAN JUAN DE SABINAS
5,28,COAHUILA DE ZARAGOZA,SABINAS
5,15,COAHUILA DE ZARAGOZA,JUAREZ
5,22,COAHUILA DE ZARAGOZA,NAVA
5,26,COAHUILA DE ZARAGOZA,PROGRESO
5,6,COAHUILA DE ZARAGOZA,CASTANOS
5,18,COAHUILA DE ZARAGOZA,MONCLOVA
5,7,COAHUILA DE ZARAGOZA,CUATRO CIENEGAS
5,10,COAHUILA DE ZARAGOZA,FRONTERA
5,35,COAHUILA DE ZARAGOZA,TORREON
5,38,COAHUILA DE ZARAGOZA,ZARAGOZA
5,2,COAHUILA DE ZARAGOZA,ACUNA
5,31,COAHUILA DE ZARAGOZA,SAN BUENAVENTURA
5,24,COAHUILA DE ZARAGOZA,PARRAS
5,25,COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS
5,36,COAHUILA DE ZARAGOZA,VIESCA
5,4,COAHUILA DE ZARAGOZA,ARTEAGA
5,11,COAHUILA DE ZARAGOZA,GENERAL CEPEDA
5,27,COAHUILA DE ZARAGOZA,RAMOS ARIZPE
5,19,COAHUILA DE ZARAGOZA,MORELOS
6,9,COLIMA,TECOMAN
6,6,COLIMA,IXTLAHUACAN
6,7,COLIMA,MANZANILLO
6,8,COLIMA,MINATITLAN
6,3,COLIMA,COMALA
6,2,COLIMA,COLIMA
